"Time","values"
2023-12-20 10:44:00,106.92 ms
2023-12-20 10:44:30,85.61 ms
2023-12-20 10:45:00,85.59 ms
2023-12-20 10:45:30,103.23 ms
2023-12-20 10:46:00,108.82 ms
2023-12-20 10:46:30,75.23 ms
2023-12-20 10:47:00,83.61 ms
2023-12-20 10:47:30,101.02 ms
2023-12-20 10:48:00,93.98 ms
2023-12-20 10:48:30,85.25 ms
2023-12-20 10:49:00,98.75 ms
2023-12-20 10:49:30,87.20 ms
2023-12-20 10:50:00,82.49 ms
2023-12-20 10:50:30,81.48 ms
2023-12-20 10:51:00,88.86 ms
2023-12-20 10:51:30,75.55 ms
2023-12-20 10:52:00,74.30 ms
2023-12-20 10:52:30,64.90 ms
2023-12-20 10:53:00,79.20 ms
2023-12-20 10:53:30,73.57 ms
2023-12-20 10:54:00,83.31 ms
2023-12-20 10:54:30,64.51 ms
2023-12-20 10:55:00,58.62 ms
2023-12-20 10:55:30,70.28 ms
2023-12-20 10:56:00,70.89 ms
2023-12-20 10:56:30,44.94 ms
2023-12-20 10:57:00,52.39 ms
2023-12-20 10:57:30,55.22 ms
2023-12-20 10:58:00,53.29 ms
2023-12-20 10:58:30,36.94 ms
2023-12-20 10:59:00,42.38 ms
2023-12-20 10:59:30,38.63 ms
2023-12-20 11:00:00,39.34 ms
2023-12-20 11:00:30,39.38 ms
2023-12-20 11:01:00,40.61 ms
2023-12-20 11:01:30,39.68 ms
2023-12-20 11:02:00,38.53 ms
2023-12-20 11:02:30,51.49 ms
2023-12-20 11:03:00,45.77 ms
2023-12-20 11:03:30,42.32 ms
2023-12-20 11:04:00,52.82 ms
2023-12-20 11:04:30,46.67 ms
2023-12-20 11:05:00,38.92 ms
2023-12-20 11:05:30,42.86 ms
2023-12-20 11:06:00,41.02 ms
2023-12-20 11:06:30,33.73 ms
2023-12-20 11:07:00,37.70 ms
2023-12-20 11:07:30,42.56 ms
2023-12-20 11:08:00,37.41 ms
2023-12-20 11:08:30,41.49 ms
2023-12-20 11:09:00,52.98 ms
2023-12-20 11:09:30,49.79 ms
2023-12-20 11:10:00,43.96 ms
2023-12-20 11:10:30,44.72 ms
2023-12-20 11:11:00,46.07 ms
2023-12-20 11:11:30,41.45 ms
2023-12-20 11:12:00,47.11 ms
2023-12-20 11:12:30,43.11 ms
2023-12-20 11:13:00,43.08 ms
2023-12-20 11:13:30,49.36 ms
2023-12-20 11:14:00,47.62 ms
2023-12-20 11:14:30,57.22 ms
2023-12-20 11:15:00,47.76 ms
2023-12-20 11:15:30,46.78 ms
2023-12-20 11:16:00,53.17 ms
2023-12-20 11:16:30,59.48 ms
2023-12-20 11:17:00,54.98 ms
2023-12-20 11:17:30,60.27 ms
2023-12-20 11:18:00,56.68 ms
2023-12-20 11:18:30,65.89 ms
2023-12-20 11:19:00,69.04 ms
2023-12-20 11:19:30,61.95 ms
2023-12-20 11:20:00,56.98 ms
2023-12-20 11:20:30,66.14 ms
2023-12-20 11:21:00,61.03 ms
2023-12-20 11:21:30,75.24 ms
2023-12-20 11:22:00,66.56 ms
2023-12-20 11:22:30,74.55 ms
2023-12-20 11:23:00,74.40 ms
2023-12-20 11:23:30,72.19 ms
2023-12-20 11:24:00,67.83 ms
2023-12-20 11:24:30,86.73 ms
2023-12-20 11:25:00,81.91 ms
2023-12-20 11:25:30,89.28 ms
2023-12-20 11:26:00,81.65 ms
2023-12-20 11:26:30,72.05 ms
2023-12-20 11:27:00,93.05 ms
2023-12-20 11:27:30,86.55 ms
2023-12-20 11:28:00,96.49 ms
2023-12-20 11:28:30,94.29 ms
2023-12-20 11:29:00,94.87 ms
2023-12-20 11:29:30,106.18 ms
2023-12-20 11:30:00,93.66 ms
2023-12-20 11:30:30,131.59 ms
2023-12-20 11:31:00,89.66 ms
2023-12-20 11:31:30,114.47 ms
2023-12-20 11:32:00,114.35 ms
2023-12-20 11:32:30,131.30 ms
2023-12-20 11:33:00,127.49 ms
2023-12-20 11:33:30,152.11 ms
2023-12-20 11:34:00,137.00 ms
2023-12-20 11:34:30,104.33 ms
2023-12-20 11:35:00,125.19 ms
2023-12-20 11:35:30,105.50 ms
2023-12-20 11:36:00,120.49 ms
2023-12-20 11:36:30,138.76 ms
2023-12-20 11:37:00,134.22 ms
2023-12-20 11:37:30,142.27 ms
2023-12-20 11:38:00,138.29 ms
2023-12-20 11:38:30,131.76 ms
2023-12-20 11:39:00,147.93 ms
2023-12-20 11:39:30,128.24 ms
2023-12-20 11:40:00,147.72 ms
2023-12-20 11:40:30,112.51 ms
2023-12-20 11:41:00,140.09 ms
2023-12-20 11:41:30,140.81 ms
2023-12-20 11:42:00,114.56 ms
2023-12-20 11:42:30,126.58 ms
2023-12-20 11:43:00,133.06 ms
2023-12-20 11:43:30,101.47 ms
2023-12-20 11:44:00,103.28 ms
2023-12-20 11:44:30,105.39 ms
2023-12-20 11:45:00,87.10 ms
2023-12-20 11:45:30,103.23 ms
2023-12-20 11:46:00,105.36 ms
2023-12-20 11:46:30,91.96 ms
2023-12-20 11:47:00,101.62 ms
2023-12-20 11:47:30,101.45 ms
2023-12-20 11:48:00,84.88 ms
2023-12-20 11:48:30,85.21 ms
2023-12-20 11:49:00,93.92 ms
2023-12-20 11:49:30,91.26 ms
2023-12-20 11:50:00,74.77 ms
2023-12-20 11:50:30,84.60 ms
2023-12-20 11:51:00,72.21 ms
2023-12-20 11:51:30,87.87 ms
2023-12-20 11:52:00,82.79 ms
2023-12-20 11:52:30,70.01 ms
2023-12-20 11:53:00,83.40 ms
2023-12-20 11:53:30,67.11 ms
2023-12-20 11:54:00,72.40 ms
2023-12-20 11:54:30,71.12 ms
2023-12-20 11:55:00,63.58 ms
2023-12-20 11:55:30,64.39 ms
2023-12-20 11:56:00,68.88 ms
2023-12-20 11:56:30,52.35 ms
2023-12-20 11:57:00,50.23 ms
2023-12-20 11:57:30,62.54 ms
2023-12-20 11:58:00,60.03 ms
2023-12-20 11:58:30,52.17 ms
2023-12-20 11:59:00,40.87 ms
2023-12-20 11:59:30,48.60 ms
2023-12-20 12:00:00,41.67 ms
2023-12-20 12:00:30,38.00 ms
2023-12-20 12:01:00,36.65 ms
2023-12-20 12:01:30,39.54 ms
2023-12-20 12:02:00,36.71 ms
2023-12-20 12:02:30,47.64 ms
2023-12-20 12:03:00,41.83 ms
2023-12-20 12:03:30,45.78 ms
2023-12-20 12:04:00,45.73 ms
2023-12-20 12:04:30,39.90 ms
2023-12-20 12:05:00,36.30 ms
2023-12-20 12:05:30,45.34 ms
2023-12-20 12:06:00,40.73 ms
2023-12-20 12:06:30,36.97 ms
2023-12-20 12:07:00,43.02 ms
2023-12-20 12:07:30,42.10 ms
2023-12-20 12:08:00,37.64 ms
2023-12-20 12:08:30,37.63 ms
2023-12-20 12:09:00,49.75 ms
2023-12-20 12:09:30,47.49 ms
2023-12-20 12:10:00,47.69 ms
2023-12-20 12:10:30,44.32 ms
2023-12-20 12:11:00,50.88 ms
2023-12-20 12:11:30,45.74 ms
2023-12-20 12:12:00,40.75 ms
2023-12-20 12:12:30,45.33 ms
2023-12-20 12:13:00,45.17 ms
2023-12-20 12:13:30,47.23 ms
2023-12-20 12:14:00,45.02 ms
2023-12-20 12:14:30,53.83 ms
2023-12-20 12:15:00,48.50 ms
2023-12-20 12:15:30,48.42 ms
2023-12-20 12:16:00,49.18 ms
2023-12-20 12:16:30,58.45 ms
2023-12-20 12:17:00,60.62 ms
2023-12-20 12:17:30,51.77 ms
2023-12-20 12:18:00,59.88 ms
2023-12-20 12:18:30,62.80 ms
2023-12-20 12:19:00,58.99 ms
